Disease_ID,Name,Category
724158,Party Cell,Genetic
104666,Skill South,Respiratory
792017,Stage Someone,Infectious
639757,Issue Education,Cancer
428481,Fish Tonight,Respiratory
771421,Push Mind,Genetic
511687,Least Thus,Genetic
405358,Price Piece,Autoimmune
970772,Wrong Task,Genetic
941460,Position And,Cancer
277203,Rate Happy,Cancer
996728,Bit Night,Autoimmune
558475,Professor Opportunity,Respiratory
458919,Season Window,Infectious
782753,Near Bad,Neurological
519750,Early Hundred,Respiratory
219586,Former Away,Neurological
209731,Throughout Pick,Cardiovascular
437048,That Play,Autoimmune
339228,Wife Animal,Genetic
036328,Kitchen Majority,Cardiovascular
725856,Leg Have,Autoimmune
638559,Thank Medical,Cancer
486615,Even During,Neurological
655230,Poor Very,Respiratory
775470,From Simply,Endocrine
975440,Likely Population,Infectious
731568,West Any,Endocrine
161043,Everyone Political,Cancer
589563,Difference Special,Cancer
655163,Contain Media,Cardiovascular
931632,Admit Mind,Autoimmune
564440,Line Four,Genetic
252786,Weight Several,Cardiovascular
689066,Production Thought,Infectious
231976,Speech Capital,Cardiovascular
008895,Effect Measure,Autoimmune
506480,Food Point,Endocrine
257991,Keep End,Cardiovascular
290067,Answer Process,Endocrine
720904,Catch Owner,Genetic
933837,Heavy Price,Respiratory
623464,East Technology,Neurological
792642,Into Economy,Neurological
037976,Area Great,Cancer
465770,Before Both,Infectious
323594,Sea Situation,Genetic
683128,Kitchen Song,Infectious
256785,First Consider,Cancer
090755,Economic Agree,Endocrine
289183,Toward Conference,Cardiovascular
168444,Four Another,Respiratory
115985,Space Produce,Neurological
946718,Discuss Guess,Autoimmune
481787,Purpose Age,Autoimmune
519987,Word Local,Neurological
502745,Fly Eight,Autoimmune
836331,Despite Week,Neurological
838002,Job Notice,Endocrine
075891,Price Security,Respiratory
755114,Idea Form,Cardiovascular
512297,Right Drive,Autoimmune
678161,Business Including,Cancer
331887,Area Item,Genetic
816232,Hit Generation,Genetic
913130,Write Pattern,Cancer
503832,Of Remain,Cancer
834640,Theory Ability,Cardiovascular
496565,Among Pretty,Genetic
000610,Exactly House,Autoimmune
391728,Understand Eye,Neurological
923967,Recently Audience,Neurological
182813,Ok Child,Endocrine
211795,Find Easy,Respiratory
732535,Modern Board,Autoimmune
474241,Newspaper Rule,Neurological
370208,Room Up,Genetic
704171,Without Yes,Genetic
743514,Actually Learn,Neurological
307463,Type Low,Respiratory
948016,Include Trip,Neurological
629204,Even Purpose,Autoimmune
602405,Rate Any,Neurological
875575,Mean Development,Infectious
439893,Ok Agent,Genetic
380042,Final End,Autoimmune
169966,Election Feeling,Autoimmune
883618,Republican Often,Respiratory
585093,Trial Close,Cancer
001943,Medical Benefit,Endocrine
541018,Gun Expert,Genetic
942705,Sing Produce,Endocrine
421561,Later Customer,Genetic
523011,Campaign Billion,Cardiovascular
698992,Quality Perhaps,Respiratory
973675,Camera Play,Endocrine
755692,Close International,Genetic
787538,Sport Item,Genetic
554697,Admit Job,Respiratory
081961,Push Later,Cancer
709592,Eight Past,Cardiovascular
289061,Always Wrong,Infectious
464732,Population Under,Infectious
530340,Party Source,Autoimmune
598320,Collection Meet,Cardiovascular
279768,Help Face,Respiratory
137084,Later Arm,Respiratory
936994,Look Bank,Autoimmune
639050,Statement Drug,Cancer
004656,Trouble Few,Infectious
702154,Subject About,Respiratory
029040,Four How,Respiratory
104956,Begin Shake,Autoimmune
333987,These Radio,Cardiovascular
463335,Central Record,Autoimmune
840351,Nor Phone,Infectious
357511,Put Arm,Cardiovascular
183782,Lot Writer,Autoimmune
673701,Cut Use,Endocrine
966633,Western World,Genetic
392282,Join About,Cancer
677588,North Pull,Cancer
648291,Car Spring,Neurological
504226,Democratic Story,Respiratory
106366,Fire Writer,Cardiovascular
001210,Summer Whether,Cancer
957949,Claim Piece,Neurological
360997,Part Cell,Autoimmune
575667,Travel He,Endocrine
290863,You News,Respiratory
478056,Physical Majority,Endocrine
711157,Each Employee,Genetic
676866,According Serve,Genetic
705989,Receive Yet,Endocrine
631414,Prevent On,Cardiovascular
815313,Who Machine,Endocrine
336311,Until Kid,Neurological
679009,Third Attorney,Cardiovascular
282977,Sometimes Generation,Autoimmune
361002,Soldier Resource,Respiratory
179276,Where Plan,Endocrine
429717,Practice Wind,Autoimmune
065671,Player Summer,Genetic
111306,Stock Agent,Endocrine
141254,Well Technology,Infectious
366137,Value Front,Endocrine
578585,Low Tough,Respiratory
426496,Into Feel,Cardiovascular
443604,Human Also,Autoimmune
914056,Would Reality,Endocrine
686483,Away Hospital,Endocrine
183574,Will Agreement,Respiratory
410399,Or May,Endocrine
579785,Man Easy,Cancer
561894,Relate Stock,Autoimmune
535610,Student Participant,Autoimmune
584064,Goal Side,Genetic
718376,Mean Five,Autoimmune
144552,Task Radio,Cardiovascular
056726,Put Soldier,Genetic
496086,Respond Minute,Neurological
968824,Right Treatment,Neurological
859791,Rest Material,Autoimmune
385654,Structure Teach,Cancer
296773,Itself Huge,Respiratory
476288,Second Tough,Respiratory
181472,Action Response,Genetic
124714,These Green,Neurological
424767,Staff Public,Endocrine
849252,Science Ok,Respiratory
183532,Someone Look,Infectious
812051,Election Thank,Autoimmune
535333,Others Environment,Neurological
909363,Chance Environment,Infectious
992711,Both All,Respiratory
356863,Watch Thing,Respiratory
939852,Western Act,Endocrine
726240,Special Enter,Infectious
888782,As Wait,Autoimmune
872549,Arm Reduce,Endocrine
434098,Culture Through,Neurological
273290,Alone Let,Infectious
333447,First Many,Respiratory
150525,Expert Concern,Cardiovascular
181363,Sign Factor,Infectious
940031,Late Prevent,Autoimmune
009151,Beyond High,Cancer
492807,Nation Account,Autoimmune
215294,Represent Few,Infectious
948092,Course Nothing,Respiratory
418305,Establish Body,Genetic
743752,Hotel List,Respiratory
186101,Tree Federal,Infectious
638004,Few Surface,Autoimmune
609065,Clear Build,Endocrine
337496,Trouble Shake,Infectious
765952,Six Capital,Endocrine
968189,Dinner What,Neurological
290925,Range Unit,Genetic
799681,Require Man,Neurological
533204,Southern Home,Infectious
782240,Question Understand,Cancer
970067,Focus So,Genetic
078280,Watch Short,Respiratory
064767,Career Under,Cardiovascular
852358,Local Know,Cancer
345149,Drug Military,Infectious
031471,Always Light,Neurological
057059,Should Mrs,Cancer
640056,Prepare Measure,Endocrine
589809,Box Analysis,Infectious
237081,Friend Level,Cancer
937123,Hot Value,Neurological
474851,Culture Figure,Cardiovascular
567205,Sign Information,Infectious
703733,Option Hospital,Endocrine
404295,Program Media,Cardiovascular
083657,Hot Everybody,Neurological
084158,Mention Sign,Autoimmune
926534,Prove Agency,Infectious
137640,This Enter,Respiratory
363227,Ago Say,Endocrine
540894,People Job,Endocrine
992000,Page Series,Endocrine
112944,National College,Infectious
776187,Option Trip,Genetic
818179,Gun Describe,Genetic
106843,Western Space,Neurological
252422,Whether Be,Endocrine
902877,Word Really,Autoimmune
149309,Staff Machine,Endocrine
333450,Yeah Least,Endocrine
043313,Senior Beautiful,Endocrine
553750,Mean Memory,Cancer
739545,Opportunity Sister,Respiratory
097130,No In,Respiratory
343315,Quite Daughter,Respiratory
138034,Her Surface,Autoimmune
607521,Answer Off,Respiratory
918109,Scene Road,Endocrine
786031,Indicate Teacher,Autoimmune
497816,Knowledge Real,Endocrine
372812,Large Entire,Cardiovascular
973527,Tv Group,Infectious
321844,Democratic Question,Infectious
376995,Certain Head,Cancer
536523,Represent International,Cardiovascular
892828,Short Program,Genetic
291118,After Represent,Infectious
886332,Four Sport,Neurological
224346,Try Way,Neurological
833343,Seem Machine,Respiratory
439903,Tax Those,Endocrine
804381,Board Crime,Respiratory
912895,Agency Low,Respiratory
979698,Total Draw,Endocrine
120053,Off Fly,Respiratory
551283,Window Recently,Infectious
784130,Edge Soldier,Neurological
342815,Natural Order,Genetic
559168,Charge City,Respiratory
444599,Wonder Think,Genetic
503133,Necessary Forget,Respiratory
025894,Stuff Hospital,Cardiovascular
342722,Someone Spend,Genetic
800105,Receive Material,Cancer
525041,Customer Everyone,Endocrine
082230,Right Purpose,Respiratory
757966,Budget Data,Endocrine
221998,Building Any,Endocrine
484151,Nice Leave,Infectious
798292,Course All,Autoimmune
685069,Those Candidate,Respiratory
114801,Beyond Week,Infectious
423626,Question Yet,Cancer
368447,Size Town,Genetic
649400,Exactly Section,Cardiovascular
823482,Guy Conference,Infectious
894906,Training Safe,Cancer
443454,Happen When,Endocrine
965774,Event Small,Endocrine
258847,One Option,Respiratory
727831,Fight Contain,Respiratory
046901,Character Firm,Genetic
046800,Whatever Paper,Genetic
730915,Scene Police,Cardiovascular
933515,Support Through,Neurological
450482,Own Exactly,Genetic
977591,Very Also,Neurological
126525,Wide Seat,Respiratory
342519,Great Not,Cancer
294413,Stock Administration,Cancer
044229,Example Decade,Cardiovascular
529507,Indicate Think,Infectious
719809,Relate Spend,Infectious
795916,Seem Watch,Respiratory
079297,Beat Yeah,Neurological
664529,Attention Report,Cancer
474958,Class Nature,Genetic
551568,Medical Report,Autoimmune
378617,Rule Suggest,Genetic
884311,Later Ago,Cancer
533519,Black Direction,Cardiovascular
254921,Much Hold,Respiratory
592691,Cup Thought,Neurological
831427,Foot Probably,Endocrine
182861,Clear Write,Neurological
458636,Response None,Respiratory
463311,Treatment Point,Cancer
857085,Agent Art,Cancer
169179,Machine Series,Infectious
493203,Tax Animal,Autoimmune
191885,Begin Future,Genetic
375264,Whether Environmental,Genetic
307510,Loss Thus,Neurological
543766,Within Alone,Genetic
876210,Property Term,Genetic
586660,Language Seek,Infectious
956911,Reflect Several,Respiratory
680074,Much Author,Neurological
706931,Ability Treatment,Genetic
372782,Question Arrive,Respiratory
528482,Single Prepare,Autoimmune
306531,Response Lawyer,Endocrine
207278,Actually True,Neurological
016089,Level Up,Genetic
225106,Entire Game,Neurological
525041,Part Need,Infectious
544893,Young One,Cardiovascular
888501,Two Least,Infectious
945285,Current Bad,Cancer
902323,Finally Catch,Endocrine
255906,Radio Simple,Infectious
611993,Few Phone,Genetic
130625,Situation Experience,Cancer
745826,Minute Theory,Cancer
849616,Rather Worker,Respiratory
980511,Low Different,Neurological
390896,Republican Long,Neurological
989948,Only Challenge,Cardiovascular
984956,Trouble Contain,Cancer
657837,Tough Yet,Cancer
421212,Word Kind,Cancer
865845,Painting Police,Neurological
569001,Maybe Agreement,Respiratory
136831,Someone Second,Cardiovascular
662517,Run Believe,Neurological
178907,Before Detail,Endocrine
749930,Player Mind,Endocrine
800410,Indeed Imagine,Infectious
194345,Human Thousand,Infectious
788969,Garden Little,Autoimmune
341806,Too Just,Cardiovascular
016873,Probably Buy,Respiratory
434650,Leg Plan,Cancer
402843,Approach Fund,Cardiovascular
381735,Down Others,Cardiovascular
268006,Inside Clear,Neurological
119107,Pretty Far,Respiratory
420006,Other Hour,Cardiovascular
621151,Enjoy Edge,Genetic
247750,Attack Defense,Genetic
451318,Night Than,Genetic
